Location,Temperature,Humidity,Gas Leakage Value,PM10,SO2,CO,O3,NO2,Air Quality Category,Timestamp
RUANG TAMU,32.09999847,76.30000305,4435,88.7,66.525,221.75,44.35,110.875,Tidak Sehat bagi Kelompok Sensitif,"6/12/2024, 20:47:27"
RUANG TAMU,32.09999847,76.90000153,8655,92.36,69.27,230.9,46.18,115.45,Tidak Sehat bagi Kelompok Sensitif,"6/12/2024, 20:47:28"
RUANG TAMU,32.09999847,77,8655,88.24,66.18,220.6,44.12,110.3,Tidak Sehat bagi Kelompok Sensitif,"6/12/2024, 20:47:28"
RUANG TAMU,32.20000076,76.40000153,8428,161.46,121.095,403.65,80.73,201.825,Tidak Sehat,"6/12/2024, 20:47:31"
RUANG TAMU,32.20000076,76.5,8428,84.76,63.57,211.9,42.38,105.95,Baik,"6/12/2024, 20:47:31"
RUANG TAMU,32.20000076,76.59999847,8398,84.22,63.165,210.55,42.11,105.275,Baik,"6/12/2024, 20:47:31"
RUANG TAMU,32.09999847,76.5,8398,83.92,62.94,209.8,41.96,104.9,Baik,"6/12/2024, 20:47:32"
RUANG TAMU,32.09999847,77,8073,83.68,62.76,209.2,41.84,104.6,Baik,"6/12/2024, 20:47:34"
RUANG TAMU,32.20000076,76.90000153,8073,83.2,62.4,208,41.6,104,Baik,"6/12/2024, 20:47:35"
RUANG TAMU,32.09999847,76.59999847,8057,83.08,62.31,207.7,41.54,103.85,Baik,"6/12/2024, 20:47:35"
RUANG TAMU,32.09999847,76.80000305,8057,83.08,62.31,207.7,41.54,103.85,Baik,"6/12/2024, 20:47:35"
RUANG TAMU,32.09999847,76.69999695,7988,82.52,61.89,206.3,41.26,103.15,Baik,"6/12/2024, 20:47:43"
RUANG TAMU,32.20000076,76.5,7925,82.28,61.71,205.7,41.14,102.85,Baik,"6/12/2024, 20:47:43"
RUANG TAMU,32.09999847,76.69999695,7851,82.06,61.545,205.15,41.03,102.575,Baik,"6/12/2024, 20:47:44"
RUANG TAMU,32.09999847,77,7739,81.68,61.26,204.2,40.84,102.1,Baik,"6/12/2024, 20:47:44"
RUANG TAMU,32.09999847,76.90000153,7730,81.98,61.485,204.95,40.99,102.475,Baik,"6/12/2024, 20:47:47"
RUANG TAMU,32.09999847,76.80000305,7620,81.64,61.23,204.1,40.82,102.05,Baik,"6/12/2024, 20:47:48"
RUANG TAMU,32.09999847,76.59999847,7577,81.38,61.035,203.45,40.69,101.725,Baik,"6/12/2024, 20:47:48"
RUANG TAMU,32.09999847,76.90000153,7537,81.14,60.855,202.85,40.57,101.425,Baik,"6/12/2024, 20:47:49"
RUANG TAMU,32.20000076,76.90000153,7541,80.8,60.6,202,40.4,101,Baik,"6/12/2024, 20:47:52"
RUANG TAMU,32.09999847,76.69999695,7490,80.56,60.42,201.4,40.28,100.7,Baik,"6/12/2024, 20:47:53"
RUANG TAMU,32.09999847,77,7445,80.54,60.405,201.35,40.27,100.675,Baik,"6/12/2024, 20:47:53"
