Location,Temperature,Humidity,Gas Leakage Value,PM10,SO2,CO,O3,NO2,Air Quality Category,Timestamp
RUANG TAMU,22.10000038,64.30000305,4178,83.56,62.67,208.9,41.78,104.45,Baik,"6/11/2024, 14:23:58"
RUANG TAMU,22.29999924,64.30000305,7134,83.52,62.64,208.8,41.76,104.4,Baik,"6/11/2024, 14:23:59"
RUANG TAMU,22.29999924,64.09999847,7127,83.3,62.475,208.25,41.65,104.125,Baik,"6/11/2024, 14:23:59"
RUANG TAMU,22.29999924,63.70000076,7103,83,62.25,207.5,41.5,103.75,Baik,"6/11/2024, 14:24:02"
RUANG TAMU,22.29999924,63.5,7065,82.7,62.025,206.75,41.35,103.375,Baik,"6/11/2024, 14:24:02"
RUANG TAMU,22.39999962,63.20000076,7046,82.26,61.695,205.65,41.13,102.825,Baik,"6/11/2024, 14:24:02"
RUANG TAMU,22.39999962,63,7026,82.5,61.875,206.25,41.25,103.125,Baik,"6/11/2024, 14:24:05"
RUANG TAMU,22.39999962,63,4089,81.78,61.335,204.45,40.89,102.225,Baik,"6/11/2024, 14:24:05"
RUANG TAMU,22.39999962,63,6980,82.3,61.725,205.75,41.15,102.875,Baik,"6/11/2024, 14:24:06"
RUANG TAMU,22.39999962,63,6969,82.26,61.695,205.65,41.13,102.825,Baik,"6/11/2024, 14:24:11"
RUANG TAMU,22.5,63,6954,81.96,61.47,204.9,40.98,102.45,Baik,"6/11/2024, 14:24:11"
RUANG TAMU,22.5,62.70000076,6929,81.48,61.11,203.7,40.74,101.85,Baik,"6/11/2024, 14:24:12"
RUANG TAMU,22.5,62.5,6888,81.3,60.975,203.25,40.65,101.625,Baik,"6/11/2024, 14:24:15"
RUANG TAMU,22.5,62.40000153,6878,81.08,60.81,202.7,40.54,101.35,Baik,"6/11/2024, 14:24:15"
RUANG TAMU,22.5,62.20000076,6862,81.04,60.78,202.6,40.52,101.3,Baik,"6/11/2024, 14:24:15"
RUANG TAMU,22.5,62.5,6857,80.86,60.645,202.15,40.43,101.075,Baik,"6/11/2024, 14:24:18"
RUANG TAMU,22.5,62.5,6857,80.72,60.54,201.8,40.36,100.9,Baik,"6/11/2024, 14:24:18"
RUANG TAMU,22.5,62.59999847,6847,80.48,60.36,201.2,40.24,100.6,Baik,"6/11/2024, 14:24:19"
RUANG TAMU,22.5,62.40000153,6814,80.34,60.255,200.85,40.17,100.425,Baik,"6/11/2024, 14:24:24"
RUANG TAMU,22.5,62.5,6829,82.4,61.8,206,41.2,103,Baik,"6/11/2024, 14:24:24"
RUANG TAMU,22.5,62.29999924,10016,122.36,91.77,305.9,61.18,152.95,Tidak Sehat bagi Kelompok Sensitif,"6/11/2024, 14:24:25"
RUANG TAMU,22.5,62.40000153,10016,106.66,79.995,266.65,53.33,133.325,Tidak Sehat bagi Kelompok Sensitif,"6/11/2024, 14:24:27"
RUANG TAMU,22.5,62.09999847,12841,95.16,71.37,237.9,47.58,118.95,Tidak Sehat bagi Kelompok Sensitif,"6/11/2024, 14:24:28"
RUANG TAMU,22.5,62.40000153,12841,89.82,67.365,224.55,44.91,112.275,Tidak Sehat bagi Kelompok Sensitif,"6/11/2024, 14:24:28"
RUANG TAMU,22.5,62,10944,86.92,65.19,217.3,43.46,108.65,Tidak Sehat bagi Kelompok Sensitif,"6/11/2024, 14:24:31"
RUANG TAMU,22.39999962,62.20000076,10944,85.26,63.945,213.15,42.63,106.575,Tidak Sehat bagi Kelompok Sensitif,"6/11/2024, 14:24:31"
RUANG TAMU,22.39999962,62.29999924,9975,84.08,63.06,210.2,42.04,105.1,Baik,"6/11/2024, 14:24:32"
RUANG TAMU,22.39999962,62.29999924,9975,83.2,62.4,208,41.6,104,Baik,"6/11/2024, 14:24:34"
RUANG TAMU,22.39999962,62.59999847,9378,82.06,61.545,205.15,41.03,102.575,Baik,"6/11/2024, 14:24:35"
RUANG TAMU,22.39999962,62.40000153,9378,81.5,61.125,203.75,40.75,101.875,Baik,"6/11/2024, 14:24:35"
RUANG TAMU,22.39999962,62.20000076,8996,81.28,60.96,203.2,40.64,101.6,Baik,"6/11/2024, 14:24:40"
RUANG TAMU,22.39999962,62.20000076,8996,80.48,60.36,201.2,40.24,100.6,Baik,"6/11/2024, 14:24:41"
RUANG TAMU,22.39999962,62,8729,80.14,60.105,200.35,40.07,100.175,Baik,"6/11/2024, 14:24:41"
RUANG TAMU,22.39999962,62.09999847,8729,79.66,59.745,199.15,39.83,99.575,Baik,"6/11/2024, 14:24:51"
RUANG TAMU,22.39999962,62.20000076,8522,78.7,59.025,196.75,39.35,98.375,Baik,"6/11/2024, 14:24:52"
RUANG TAMU,22.39999962,62.20000076,8522,79.16,59.37,197.9,39.58,98.95,Baik,"6/11/2024, 14:24:52"
RUANG TAMU,22.39999962,62.09999847,8340,78.94,59.205,197.35,39.47,98.675,Baik,"6/11/2024, 14:24:55"
RUANG TAMU,22.39999962,62.29999924,8340,78.82,59.115,197.05,39.41,98.525,Baik,"6/11/2024, 14:24:55"
RUANG TAMU,22.29999924,62.29999924,4075,78.54,58.905,196.35,39.27,98.175,Baik,"6/11/2024, 14:24:56"
RUANG TAMU,22.29999924,62.40000153,8074,78.34,58.755,195.85,39.17,97.925,Baik,"6/11/2024, 14:24:58"
RUANG TAMU,22.29999924,62.20000076,8074,78.2,58.65,195.5,39.1,97.75,Baik,"6/11/2024, 14:24:59"
RUANG TAMU,22.29999924,62.5,4024,78.18,58.635,195.45,39.09,97.725,Baik,"6/11/2024, 14:24:59"
RUANG TAMU,22.29999924,62.79999924,7797,77.92,58.44,194.8,38.96,97.4,Baik,"6/11/2024, 14:25:02"
RUANG TAMU,22.29999924,62.79999924,7708,77.86,58.395,194.65,38.93,97.325,Baik,"6/11/2024, 14:25:02"
RUANG TAMU,22.29999924,63.29999924,7592,77.64,58.23,194.1,38.82,97.05,Baik,"6/11/2024, 14:25:02"
RUANG TAMU,22.29999924,63.09999847,7539,141.8,106.35,354.5,70.9,177.25,Tidak Sehat bagi Kelompok Sensitif,"6/11/2024, 14:25:05"
RUANG TAMU,22.29999924,62.79999924,7482,140.7,105.525,351.75,70.35,175.875,Tidak Sehat bagi Kelompok Sensitif,"6/11/2024, 14:25:06"
RUANG TAMU,22.29999924,62.70000076,7441,77.04,57.78,192.6,38.52,96.3,Baik,"6/11/2024, 14:25:06"
RUANG TAMU,22.29999924,62.70000076,7406,76.96,57.72,192.4,38.48,96.2,Baik,"6/11/2024, 14:25:11"
RUANG TAMU,22.29999924,62.70000076,7361,76.08,57.06,190.2,38.04,95.1,Baik,"6/11/2024, 14:25:12"
RUANG TAMU,22.29999924,62.90000153,7310,76.16,57.12,190.4,38.08,95.2,Baik,"6/11/2024, 14:25:12"
RUANG TAMU,22.29999924,62.79999924,7272,76.6,57.45,191.5,38.3,95.75,Baik,"6/11/2024, 14:25:15"
